,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Symbol,Quantity,Date,Cost/Share $,Total Cost $,Date,Price/Share $,Proceeds $,Gain $,Deferred Loss $,Term,Lot Selection
    Sell,200,5/8/2025,67.89,13578.76,6/5/2025,81.25,16249.97,2671.21,0,Short,FIFO
    Sell,100,8/2/2024,58.65,5865,8/9/2024,61.05,6104.81,239.81,0,Short,FIFO
    Sell,100,3/12/2024,62.4,6239.63,3/22/2024,63.28,6327.92,88.29,0,Short,FIFO
    Sell,600,6/6/2025,79.76,47856.3,6/13/2025,79,47399.9598,-456.34,0,Short,FIFO
COIN,200,--,--,52190.17,--,--,57498.93,5308.76,--,Short,--
    Options Assignment,100,6/16/2025,260.44,26044.17,6/20/2025,287.49,28749.47,2705.3,0,Short,FIFO
    Options Assignment,100,6/16/2025,261.46,26146,6/20/2025,287.49,28749.46,2603.46,0,Short,FIFO
COMM,2000,--,--,16250,--,--,15899.67,-350.33,--,Short,--
    Sell,2000,7/23/2025,8.12,16250,7/24/2025,7.95,15899.67,-350.33,0,Short,FIFO
CORZ,800,--,--,8881,--,--,8955.6199,74.62,--,Short,--
    Sell,500,9/13/2024,11.04,5522.5,9/17/2024,11.19,5597.26,74.76,0,Short,FIFO
    Sell,300,9/13/2024,11.2,3358.5,9/17/2024,11.19,3358.3599,-0.14,0,Short,FIFO
COUR,7400,--,--,62356.96,--,--,62105.17992,-251.78,--,Short,--
    Sell,249,12/2/2024,8.36,2080.82,12/9/2024,8.44,2101.459902,20.64,0,Short,FIFO
    Sell,20,11/27/2024,8.26,165.3,12/9/2024,8.45,169.01,3.71,0,Short,FIFO
    Sell,100,12/4/2024,8.61,860.99,12/10/2024,8.53,853.02,-7.97,0,Short,FIFO
    Sell,1400,12/9/2024,8.34,11669,12/10/2024,8.53,11942.2702,273.27,0,Short,FIFO
    Sell,1000,12/9/2024,8.57,8570,12/13/2024,8.15,8150.3,-419.7,0,Short,FIFO
    Sell,900,12/4/2024,8.61,7748.91,12/9/2024,8.49,7642.3401,-106.57,0,Short,FIFO
    Sell,1951,12/2/2024,8.36,16303.92,12/9/2024,8.46,16504.6796,200.76,0,Short,FIFO
    Sell,20,11/27/2024,8.26,165.3,12/9/2024,8.46,169.21,3.91,0,Short,FIFO
    Sell,300,12/4/2024,8.61,2582.97,12/9/2024,8.44,2531.88,-51.09,0,Short,FIFO
    Sell,100,11/27/2024,8.27,826.76,12/9/2024,8.46,845.96,19.2,0,Short,FIFO
    Sell,60,11/27/2024,8.26,495.9,12/9/2024,8.46,507.58002,11.68,0,Short,FIFO
    Sell,300,11/27/2024,8.27,2479.89,12/9/2024,8.46,2537.8701,57.98,0,Short,FIFO
    Sell,1000,12/11/2024,8.41,8407.2,12/13/2024,8.15,8149.6,-257.6,0,Short,FIFO
CPNG,2000,--,--,53138.4,--,--,56119.66,2981.26,--,Short,--
    Sell,1000,5/13/2025,26.57,26568.4,6/10/2025,28.11,28114.83,1546.43,0,Short,FIFO
    Sell,1000,5/13/2025,26.57,26570,6/10/2025,28,28004.83,1434.83,0,Short,FIFO
CRDO,400,--,--,29594.88,--,--,27984.53,-1610.35,--,Short,--
    Sell,200,6/9/2025,73.54,14708,6/10/2025,69.96,13992.27,-715.73,0,Short,FIFO
    Sell,200,6/9/2025,74.43,14886.88,6/10/2025,69.96,13992.26,-894.62,0,Short,FIFO
CZR,500,--,--,15433.84,--,--,15125.6699,-308.17,--,Short,--
    Sell,300,7/10/2025,31.06,9316.68,7/16/2025,30.25,9075.3999,-241.28,0,Short,FIFO
    Sell,200,7/14/2025,30.59,6117.16,7/16/2025,30.25,6050.27,-66.89,0,Short,FIFO
DDD,5000,--,--,22650,--,--,22773.519,123.52,--,Short,--
    Sell,2000,2/11/2025,4.53,9060,2/13/2025,4.54,9079.41,19.41,0,Short,FIFO
    Sell,3000,2/11/2025,4.53,13590,2/13/2025,4.56,13694.109,104.11,0,Short,FIFO
